ID,"Actin Length","Actin Xsection","Actin Volume","Number of fiber layers"
98,17.75,0.48,77.152,175
82,31.234,0.938,49.516,198
141,17.739,0.377,39.596,274
72,16.647,0.692,59.781,273
109,24.47,0.241,35.346,281
95,42.842,0.1,67.359,289
108,30.183,0.425,39.651,222
55,6.401,0.103,73.947,219
133,36.902,0.664,6.848,227
125,49.955,0.87,54.085,250
117,29.729,0.594,72.987,278
115,10.769,0.05,79.602,244
119,31.969,0.871,73.638,152
95,7.332,0.232,80.49,291
86,48.279,0.234,72.603,230
63,16.312,0.829,51.858,235
87,34.34,0.327,12.09,282
84,24.603,0.984,34.597,276
146,48.427,0.111,7.238,281
67,27.452,0.653,75.379,171
127,25.338,0.381,65.651,242
68,29.344,0.211,31.077,264
55,23.22,0.58,30.144,201
147,18.09,0.185,24.805,173
108,31.606,0.192,42.417,277
145,49.151,0.242,26.974,152
101,29.888,0.59,25.751,253
136,24.854,0.273,47.734,258
66,25.589,0.335,75.109,241
84,9.824,0.262,8.141,271
69,5.488,0.09,25.384,208
85,13.468,0.539,55.494,232
51,49.487,0.789,66.704,222
79,46.999,0.502,37.474,264
98,42.902,0.094,74.366,224
53,20.194,0.859,10.588,165
94,11.75,0.256,13.182,200
98,39.277,0.822,26.919,206
144,25.491,0.108,5.564,161
59,9.273,0.395,63.403,190
137,25.714,0.208,15.213,258
107,38.344,0.395,43.397,157
84,15.113,0.37,22.435,228
80,39.645,0.404,17.86,154
50,35.07,0.691,41.671,225
70,16.493,0.707,51.744,297
112,28.132,0.516,15.934,269
57,5.766,0.998,66.463,208
102,38.537,0.48,64.303,177
119,10.446,0.379,53.803,268
57,35.285,0.329,33.3,185
50,24.908,0.119,30.853,245
123,14.767,0.185,78.667,170
130,17.816,0.352,51.737,248
90,31.766,0.9,27.455,279
95,39.495,0.968,32.95,217
74,9.766,0.903,44.483,287
75,26.469,0.769,61.367,265
95,40.427,0.84,30.378,202
51,44.646,0.662,40.718,255
139,42.705,0.248,48.506,164
65,16.08,0.938,39.242,292
73,35.309,0.394,44.146,266
143,46.835,0.698,48.362,190
132,24.558,0.324,56.823,185
144,50.738,0.353,47.912,281
86,27.457,0.716,69.403,257
130,7.194,0.802,29.381,193
55,37.826,0.515,41.719,231
78,18.194,0.561,63.275,279
78,32.363,0.344,29.234,219
93,34.466,0.889,43.347,172
140,8.053,0.571,14.885,229
110,27.27,0.834,22.564,245
136,23.865,0.704,20.283,211
63,13.489,0.474,43.734,200
111,32.09,0.535,52.767,153
73,39.987,0.989,69.098,291
94,22.402,0.163,12.108,216
96,25.194,0.324,13.125,254
128,8.957,0.402,24.626,241
51,16.499,0.206,37.688,217
58,24.603,0.503,27.065,184
103,11.597,0.887,70.528,194
98,39.849,0.07,56.302,219
111,9.681,0.335,24.873,219
118,43.399,0.103,71.15,273
52,49.918,0.386,38.197,182
72,45.907,0.168,9.292,255
62,13.559,0.067,57.743,198
123,44.142,0.212,19.643,244
93,39.28,0.391,43.912,270
131,45.943,0.372,8.164,267
140,26.408,0.477,15.157,208
136,47.349,0.695,11.582,249
54,37.196,0.539,14.079,264
125,11.416,0.461,80.698,176
90,11.791,0.5,57.632,176
69,12.22,0.14,80.895,251
113,18.749,0.336,35.331,241
133,43.545,0.469,5.646,271
132,17.656,0.488,24.073,254
117,40.533,0.597,30.229,226
113,7.952,0.383,63.11,214
149,43.644,0.227,28.999,184
132,37.196,0.48,68.934,265
129,33.121,0.433,38.987,268
111,22.859,0.193,5.879,170
117,20.812,0.248,60.189,176
90,32.172,0.292,80.998,278
101,37.103,0.203,16.664,249
122,8.654,0.581,61.354,192
78,39.798,0.91,36.602,291
93,31.729,0.954,6.662,248
71,34.243,0.699,33.543,252
140,39.09,0.746,25.936,195
144,14.564,0.956,50.706,275
129,7.221,0.747,44.159,153
86,26.067,0.583,50.098,167
150,39.423,0.633,48.601,297
104,50.407,0.268,23.849,266
148,49.54,0.611,40.685,300
105,49.598,0.747,63.898,275
101,46.851,0.305,52.915,286
124,24.351,0.929,78.669,210
50,21.133,0.478,29.7,278
96,15.675,0.458,79.405,293
102,11.31,0.072,25.094,173
89,37.701,0.699,73.102,210
87,16.767,0.254,29.195,200
55,5.617,0.722,7.519,279
87,23.717,0.286,25.808,279
81,8.383,0.104,63.72,209
116,35.077,0.306,5.795,150
126,14.83,0.727,33.711,255
65,26.269,0.652,67.147,260
106,28.119,0.862,6.286,284
90,32.438,0.643,20.47,231
85,35.091,0.241,9.922,195
83,38.309,0.413,77.644,255
